geo_id,date,region,orders,sessions,revenue,spend,eligible_users,conversion_rate,synthetic_market_name
mkt_001,2025-01-01,Northeast,430,10821,40820.05,3843.03,9054,0.04749282085266181,Synthetic Market 001
mkt_001,2025-01-02,Northeast,493,11035,45182.73,2981.77,10243,0.04813043053792834,Synthetic Market 001
mkt_001,2025-01-03,Northeast,477,10714,44798.57,3351.32,9318,0.05119124275595621,Synthetic Market 001
mkt_001,2025-01-04,Northeast,515,14215,46372.5,3578.03,11957,0.04307100443254997,Synthetic Market 001
mkt_001,2025-01-05,Northeast,488,11712,42478.15,2997.19,10297,0.04739244440128193,Synthetic Market 001
mkt_001,2025-01-06,Northeast,472,10902,41613.28,3577.78,9169,0.05147780564947104,Synthetic Market 001
mkt_001,2025-01-07,Northeast,404,10777,36031.1,3488.72,9057,0.0446063818041294,Synthetic Market 001
mkt_001,2025-01-08,Northeast,425,10674,40005.34,3391.68,8793,0.04833390196747413,Synthetic Market 001
mkt_001,2025-01-09,Northeast,454,10973,42902.56,3516.3,9235,0.04916080129940444,Synthetic Market 001
mkt_001,2025-01-10,Northeast,432,11743,41380.43,4110.55,9280,0.04655172413793104,Synthetic Market 001
mkt_001,2025-01-11,Northeast,455,11256,41109.0,4130.17,8784,0.05179872495446266,Synthetic Market 001
mkt_001,2025-01-12,Northeast,564,12400,50739.65,3756.63,11639,0.04845777128619297,Synthetic Market 001
mkt_001,2025-01-13,Northeast,420,11026,38972.14,3656.84,8796,0.047748976807639835,Synthetic Market 001
mkt_001,2025-01-14,Northeast,479,12501,44774.74,3563.67,10321,0.046410231566708655,Synthetic Market 001
mkt_001,2025-01-15,Northeast,422,11132,36167.85,3273.81,9607,0.04392630373685854,Synthetic Market 001
mkt_001,2025-01-16,Northeast,389,11230,38634.49,3211.65,8876,0.043826047769265436,Synthetic Market 001
mkt_001,2025-01-17,Northeast,487,11746,46394.23,3507.16,10324,0.0471716388996513,Synthetic Market 001
mkt_001,2025-01-18,Northeast,520,12894,44011.26,3904.74,10616,0.048982667671439335,Synthetic Market 001
